tagName,competitionTitle
創作,2024臺灣文學數位遊戲腳本徵選
學生,2024臺灣文學數位遊戲腳本徵選
競賽,2024臺灣文學數位遊戲腳本徵選
政府主辦,2024臺灣文學數位遊戲腳本徵選
寫作,2024臺灣文學數位遊戲腳本徵選
臺灣文學館,2024臺灣文學數位遊戲腳本徵選
數位遊戲腳本,2024臺灣文學數位遊戲腳本徵選
文學數位遊戲,2024臺灣文學數位遊戲腳本徵選
文學藏品,2024臺灣文學數位遊戲腳本徵選
遊戲腳本,2024臺灣文學數位遊戲腳本徵選
故事文本,2024臺灣文學數位遊戲腳本徵選
文學意涵,2024臺灣文學數位遊戲腳本徵選
數位遊戲,2024臺灣文學數位遊戲腳本徵選
創意發想,2024臺灣文學數位遊戲腳本徵選
文學與遊戲,2024臺灣文學數位遊戲腳本徵選
人權、性別、神怪小說,2024臺灣文學數位遊戲腳本徵選
藏品元素,2024臺灣文學數位遊戲腳本徵選
文學獎,2024年吳濁流文學獎
徵文,2024年吳濁流文學獎
文學獎,2024年吳濁流文學獎
寫作,2024年吳濁流文學獎
文學,2024年吳濁流文學獎
創作,2024年吳濁流文學獎
競賽,2024年吳濁流文學獎
政府主辦,2024年吳濁流文學獎
獎金,2024年吳濁流文學獎
現代詩,2024年吳濁流文學獎
兒童文學,2024年吳濁流文學獎
散文,2024年吳濁流文學獎
短篇小說,2024年吳濁流文學獎
客語詩,2024年吳濁流文學獎
吳濁流,2024年吳濁流文學獎
歌唱比賽,藻安! 尋藻好聲音
其他,藻安! 尋藻好聲音
歌唱,藻安! 尋藻好聲音
歌唱比賽,藻安! 尋藻好聲音
參賽資格,藻安! 尋藻好聲音
活動時程,藻安! 尋藻好聲音
初賽辦法,藻安! 尋藻好聲音
複賽辦法,藻安! 尋藻好聲音
決賽辦法,藻安! 尋藻好聲音
活動獎勵,藻安! 尋藻好聲音
聯絡方式,藻安! 尋藻好聲音
主辦單位,藻安! 尋藻好聲音
獎金,藻安! 尋藻好聲音
文學獎,第十六屆「拍台北」電影劇本徵選
創意寫作,第十六屆「拍台北」電影劇本徵選
徵文,第十六屆「拍台北」電影劇本徵選
寫作,第十六屆「拍台北」電影劇本徵選
創作,第十六屆「拍台北」電影劇本徵選
競賽,第十六屆「拍台北」電影劇本徵選
學生競賽,第十六屆「拍台北」電影劇本徵選
全球,第十六屆「拍台北」電影劇本徵選
政府主辦,第十六屆「拍台北」電影劇本徵選
創意,第十六屆「拍台北」電影劇本徵選
劇本,第十六屆「拍台北」電影劇本徵選
電影,第十六屆「拍台北」電影劇本徵選
國際,第十六屆「拍台北」電影劇本徵選
國際比賽,第十六屆「拍台北」電影劇本徵選
影委會,第十六屆「拍台北」電影劇本徵選
拍台北,第十六屆「拍台北」電影劇本徵選
臺北市政府,第十六屆「拍台北」電影劇本徵選
台北市文化基金會,第十六屆「拍台北」電影劇本徵選
電影劇本,第十六屆「拍台北」電影劇本徵選
財團法人,第十六屆「拍台北」電影劇本徵選
台北電影委員會,第十六屆「拍台北」電影劇本徵選
獎勵方式,第十六屆「拍台北」電影劇本徵選
參賽規則,第十六屆「拍台北」電影劇本徵選
台北市政府,第十六屆「拍台北」電影劇本徵選
參加者身分,第十六屆「拍台北」電影劇本徵選
PDF 電子檔,第十六屆「拍台北」電影劇本徵選
评审使用,第十六屆「拍台北」電影劇本徵選
創意寫作,113年教育部文藝創作獎
企劃競賽,113年教育部文藝創作獎
125,113年教育部文藝創作獎
文學獎,113年教育部文藝創作獎
徵文,113年教育部文藝創作獎
寫作,113年教育部文藝創作獎
創作,113年教育部文藝創作獎
學生,113年教育部文藝創作獎
教師,113年教育部文藝創作獎
資格限制,113年教育部文藝創作獎
社會人士,113年教育部文藝創作獎
競賽,113年教育部文藝創作獎
學生競賽,113年教育部文藝創作獎
國內,113年教育部文藝創作獎
文藝創作,113年教育部文藝創作獎
教師組,113年教育部文藝創作獎
學生組,113年教育部文藝創作獎
戲劇劇本,113年教育部文藝創作獎
短篇小說,113年教育部文藝創作獎
散文,113年教育部文藝創作獎
詩詞,113年教育部文藝創作獎
童話,113年教育部文藝創作獎
原創,113年教育部文藝創作獎
傳統戲劇,113年教育部文藝創作獎
創意寫作,2024 SDGs Talk 永續行動獎
文學獎,2024 SDGs Talk 永續行動獎
文學,2024 SDGs Talk 永續行動獎
競賽,2024 SDGs Talk 永續行動獎
競賽目的,2024 SDGs Talk 永續行動獎
教育部,2024 SDGs Talk 永續行動獎
社會責任實踐計畫,2024 SDGs Talk 永續行動獎
在地行動,2024 SDGs Talk 永續行動獎
永續發展,2024 SDGs Talk 永續行動獎
作品徵集,2024 SDGs Talk 永續行動獎
學習階段學生,2024 SDGs Talk 永續行動獎
作品規範,2024 SDGs Talk 永續行動獎
聯合國永續发展目标,2024 SDGs Talk 永續行動獎
繪畫比賽,2024 ART street 定期插畫比賽四月主題：櫻花
繪畫,2024 ART street 定期插畫比賽四月主題：櫻花
設計,2024 ART street 定期插畫比賽四月主題：櫻花
插畫,2024 ART street 定期插畫比賽四月主題：櫻花
插畫比賽,2024 ART street 定期插畫比賽四月主題：櫻花
ART street,2024 ART street 定期插畫比賽四月主題：櫻花
主題「櫻花」,2024 ART street 定期插畫比賽四月主題：櫻花
參賽資格,2024 ART street 定期插畫比賽四月主題：櫻花
作品原創性,2024 ART street 定期插畫比賽四月主題：櫻花
活動時程,2024 ART street 定期插畫比賽四月主題：櫻花
報名方式,2024 ART street 定期插畫比賽四月主題：櫻花
評分標準,2024 ART street 定期插畫比賽四月主題：櫻花
獎勵金賞,2024 ART street 定期插畫比賽四月主題：櫻花
聯絡方式,2024 ART street 定期插畫比賽四月主題：櫻花
文學獎,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
創意寫作,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
徵文,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
創作,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
寫作,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
小說,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
原創,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
短篇小說,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
文學,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
類型小說,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
懸疑,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
推理,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
探案,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
犯罪,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
驚悚,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
謊言之誠,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
真相與謊言,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
懸疑推理,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
小說募集,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
推理探案,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
心機謊言,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
社會普遍存在,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
保護自己,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
謊言帶來安慰,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
主辦iQIYI,琅琅主題徵文｜「謊言之誠」懸疑推理小說募集！
影片比賽,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
